user_id,date,event,product_id
40,2018-01-01,login,
40,2018-01-01,view,P5
9,2018-01-03,login,
9,2018-01-03,view,P3
9,2018-01-03,view,P5
9,2018-01-03,view,P11
9,2018-01-03,view,P20
11,2018-01-03,login,
11,2018-01-03,view,P2
11,2018-01-03,view,P4
11,2018-01-03,view,P9
11,2018-01-03,view,P10
11,2018-01-03,view,P15
11,2018-01-03,view,P19
33,2018-01-04,login,
33,2018-01-04,view,P5
33,2018-01-04,view,P6
33,2018-01-04,view,P8
49,2018-01-04,login,
49,2018-01-04,view,P3
49,2018-01-04,view,P5
49,2018-01-04,view,P19
25,2018-01-06,login,
25,2018-01-06,view,P1
25,2018-01-06,view,P4
25,2018-01-06,view,P9
25,2018-01-06,view,P14
25,2018-01-06,view,P15
25,2018-01-06,view,P16
55,2018-01-06,login,
55,2018-01-06,view,P11
55,2018-01-06,view,P12
55,2018-01-06,view,P13
55,2018-01-06,view,P20
70,2018-01-07,login,
70,2018-01-07,view,P7
70,2018-01-07,view,P20
57,2018-01-08,login,
57,2018-01-08,view,P8
57,2018-01-08,view,P16
27,2018-01-09,login,
27,2018-01-09,view,P14
56,2018-01-09,login,
56,2018-01-09,view,P3
70,2018-01-10,login,
70,2018-01-10,view,P3
33,2018-01-13,login,
33,2018-01-13,view,P8
79,2018-01-13,login,
79,2018-01-13,view,P9
1,2018-01-14,login,
1,2018-01-14,view,P17
1,2018-01-14,view,P18
31,2018-01-14,login,
31,2018-01-14,view,P2
31,2018-01-14,view,P4
31,2018-01-14,view,P6
31,2018-01-14,view,P7
31,2018-01-14,view,P12
31,2018-01-14,view,P14
31,2018-01-14,view,P16
61,2018-01-14,login,
61,2018-01-14,view,P11
61,2018-01-14,view,P14
89,2018-01-16,login,
89,2018-01-16,view,P3
89,2018-01-16,view,P8
89,2018-01-16,view,P11
89,2018-01-16,view,P14
23,2018-01-17,login,
23,2018-01-17,view,P3
23,2018-01-17,view,P8
23,2018-01-17,view,P11
23,2018-01-17,view,P13
44,2018-01-17,login,
44,2018-01-17,view,P2
44,2018-01-17,view,P6
44,2018-01-17,view,P11
44,2018-01-17,view,P19
99,2018-01-17,login,
