user_id,product_id,target
1,P1,0
1,P2,0
1,P3,1
1,P4,0
1,P5,0
1,P6,0
1,P7,0
1,P8,0
1,P9,0
1,P10,0
1,P11,0
1,P12,0
1,P13,0
1,P14,0
1,P15,0
1,P16,0
1,P17,1
1,P18,0
1,P19,0
1,P20,0
2,P1,0
2,P2,1
2,P3,0
2,P4,0
2,P5,0
2,P6,0
2,P7,1
2,P8,0
2,P9,1
2,P10,1
2,P11,1
2,P12,1
2,P13,1
2,P14,0
2,P15,0
2,P16,0
2,P17,0
2,P18,0
2,P19,0
2,P20,0
3,P1,1
3,P2,1
3,P3,0
3,P4,0
3,P5,0
3,P6,0
3,P7,1
3,P8,0
3,P9,1
3,P10,0
3,P11,1
3,P12,0
3,P13,0
3,P14,1
3,P15,0
3,P16,0
3,P17,1
3,P18,0
3,P19,0
3,P20,0
4,P1,0
4,P2,0
4,P3,1
4,P4,1
4,P5,0
4,P6,0
4,P7,0
4,P8,0
4,P9,0
4,P10,1
4,P11,0
4,P12,0
4,P13,1
4,P14,0
4,P15,1
4,P16,0
4,P17,0
4,P18,1
4,P19,1
4,P20,1
5,P1,0
5,P2,0
5,P3,1
5,P4,1
5,P5,0
5,P6,0
5,P7,0
5,P8,0
5,P9,0
5,P10,0
5,P11,1
5,P12,1
5,P13,0
5,P14,1
5,P15,1
5,P16,0
5,P17,0
5,P18,1
5,P19,0
5,P20,0
6,P1,0
6,P2,1
6,P3,0
6,P4,1
6,P5,0
6,P6,0
6,P7,0
6,P8,1
6,P9,0
6,P10,0
6,P11,1
6,P12,0
6,P13,1
6,P14,0
6,P15,0
6,P16,0
6,P17,1
6,P18,0
6,P19,0
6,P20,0
7,P1,1
7,P2,1
7,P3,0
7,P4,0
7,P5,1
7,P6,0
7,P7,0
7,P8,0
7,P9,1
7,P10,0
7,P11,1
7,P12,1
7,P13,1
7,P14,1
7,P15,0
7,P16,0
7,P17,1
7,P18,0
7,P19,0
7,P20,0
8,P1,0
8,P2,0
8,P3,1
8,P4,1
8,P5,0
8,P6,1
8,P7,0
8,P8,0
8,P9,0
8,P10,1
8,P11,1
8,P12,1
8,P13,0
8,P14,0
8,P15,0
8,P16,1
8,P17,0
8,P18,0
8,P19,1
8,P20,1
9,P1,0
9,P2,0
9,P3,0
9,P4,0
9,P5,0
9,P6,0
9,P7,0
9,P8,1
9,P9,0
9,P10,0
9,P11,1
9,P12,0
9,P13,0
9,P14,1
9,P15,0
9,P16,1
9,P17,0
9,P18,1
9,P19,1
9,P20,0
10,P1,1
10,P2,1
10,P3,0
10,P4,1
10,P5,0
10,P6,0
10,P7,1
10,P8,1
10,P9,0
10,P10,0
10,P11,1
10,P12,0
10,P13,1
10,P14,1
10,P15,1
10,P16,1
10,P17,0
10,P18,0
10,P19,0
10,P20,0
11,P1,0
11,P2,1
11,P3,1
11,P4,1
11,P5,0
11,P6,0
11,P7,0
11,P8,0
11,P9,0
11,P10,0
11,P11,1
11,P12,0
11,P13,0
11,P14,1
11,P15,0
11,P16,0
11,P17,0
11,P18,0
11,P19,0
11,P20,0
12,P1,1
12,P2,0
12,P3,0
12,P4,1
12,P5,0
12,P6,0
12,P7,0
12,P8,0
12,P9,0
12,P10,0
12,P11,0
12,P12,1
12,P13,0
12,P14,1
12,P15,1
12,P16,1
12,P17,1
12,P18,1
12,P19,0
12,P20,0
13,P1,1
13,P2,1
13,P3,0
13,P4,0
13,P5,1
13,P6,0
